标题,链接,发布时间,内容
天壕环境:澄清公告,"https://guba.eastmoney.com/news,300332,728179045.html",2017-11-14 19:51:59,"公告日期：2017-11-14
 证券代码：300332 证券简称：天壕环境 公告编号：2017-111



天壕环境股份有限公司



澄清公告



本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。



一、传闻情况



天壕环境股份有限公司（以下简称“公司”）于2017年11月11日在巨潮



资讯网（www.cninfo.com.cn）披露了《关于变更部分募集资金用途的公告》（公 告编号：2017-106），近日，有媒体质疑 “天壕环境拟变更1.4亿募资用途时 隔一年对MBR膜项目态度生变”， “从此前的‘抢占市场先机’到如今的项目总投资额‘缩水’、变更部分募集资金用途，天壕环境(300332，SZ)发布的一则公告折射出其态度的变化”，以致市场有可能对公司“募集资金变更后，天壕环 境在MBR膜方面的竞争力”存疑，而误认为公司未来发展MBR膜的战略布局发生态度转变。



二、澄清说明



为了向广大投资者说明事实，公司特发布澄清内容如下：



1、公司原募投项目日照赛诺膜组件及环保装备制造项目（以下简称“日照



膜项目”）拟生产的超滤膜组件产品中的最主要核心产品为热致相法PVDF中空



纤维MBR（膜生物反应器）膜产品。公司过去及现在一直都看好MBR膜的发展，



认为MBR膜产品市场前景巨大，但随着MBR膜的各大研究机构和膜厂商都加大了



MBR膜产品研发的力度，MBR膜市场未来参与主体将逐步增加，为迅速推广赛诺



膜技术的市场应用和提升赛诺膜技术的影响力，建立开放合作共赢的行业合作新战略，公司拟引进拥有较强资金实力、较大膜产品需求、丰富的水处理及环境市场资源和开拓能力等多方面优势的战略合作伙伴，共同合资建设日照膜项目。该 安排的实现，一方面将整合行业战略资源，共同开拓热致相法MBR膜生产及应用市场，使赛诺的膜技术在行业中快速推广占据市场份额；另一方面，合作各方将以膜为基础和切入点，在水处理及环境相关领域建立更广泛更紧密的合作关系，有利于公司快速推进水电气一体化产业的布局。如以上安排得以实现，新战略合作者将采用增资扩股的方式成为日照膜项目公司新加入的股东，公司已经投入了3000万元，继续作为股东持有相应的股份。合资公司将自行融资满足项目建设的需要，专注MBR膜产品的生产并合理的规划产能规模，现阶段比原募投项目投资总额有所减少。因此，日照膜项目的建设和运营，不但不会受到募集资金变更影响，而且由于新的战略合作者的加入，公司单方面投入该项目的资金将自然减少，有必要变更部分募集资金用途，提升使用效率。



2、另一方面，随着MBR膜应用的快速发展，公司也将加大具有更先进技术



的包括陶瓷MBR膜在内的新兴MBR膜产品的研发投入，从而变更部分募集资金投



资于膜技术与工程研究中心项目，以丰富膜产品种类，以满足更多行业对膜法水处理技术的需求，力争不断占据MBR膜市场的技术制高点，继续保持行业内同时掌握膜技术中的配方技术、制造技术和膜法水资源化应用工艺等技术的优势地位，使膜系列产品继续成为公司水务板块具有核心竞争力的优势之一，有利于长久支撑公司的市场开拓。



3、随着研发技术的不断积淀，研发产品的持续升级利用，公司仍将重视具



有技术领先优势、核心竞争力的膜产品及环保装备制造项目的战略布局，如项目满足较好投资回报率的情况下，可考虑妥善使用自有资金及多种融资方式进行投资，形成赛诺膜系列化产品，满足多种领域、应用环境的要求，以提升上市公司整体市场竞争力及盈利能力。



三、 风险提示



公司郑重提醒广大投资者：巨潮资讯网（www.cninfo.com.cn）为公司指定的信息披露媒体。公司发布的信息以在上述网站刊登的公告为准。敬请广大投资者理性投资，注意投资风险。



特此公告。



天壕环境股份有限公司



董事会



2017年11月14日




[点击查看PDF原文]
提示：本网不保证其真实性和客观性，一切有关该股的有效信息，以交易所的公告为准，敬请投资者注意风险。
展开阅读全文"
我想说一下上面是谁晒的买卖股票的明细，一看就是新手，有一只两只股票就够了，趋势不,"https://guba.eastmoney.com/news,300332,729185688.html",2017-11-16 21:30:47,"我想说一下上面是谁晒的买卖股票的明细，一看就是新手，有一只两只股票就够了，趋势不好就住手，想买股票也要快进快出。
出于好意 不要骂我"
8.22的增发价，问你可以套咱们几年,"https://guba.eastmoney.com/news,300332,727616874.html",2017-11-13 15:27:50,除非大家一起死！
中邮也快没货了吧,"https://guba.eastmoney.com/news,300332,728982224.html",2017-11-16 14:31:36,中邮也快没货了吧
主力不在上面挂单压盘,"https://guba.eastmoney.com/news,300332,709635465.html",2017-09-26 16:34:42,主力不在上面挂单压盘
叫你一句陈总是尊重你。为何天天跌。一点希望也不给支持你的股民。很多股民入了你公司,"https://guba.eastmoney.com/news,300332,729056578.html",2017-11-16 16:34:16,叫你一句陈总是尊重你。为何天天跌。一点希望也不给支持你的股民。很多股民入了你公司股票真的跳楼的心都有了。你真的没有一点良知吗
没有恐慌的市场情绪，何来此廉价的筹码。我只想说闭眼买入，不用看盘。[献花][献花,"https://guba.eastmoney.com/news,300332,729131289.html",2017-11-16 19:18:49,没有恐慌的市场情绪，何来此廉价的筹码。我只想说闭眼买入，不用看盘。
最近石油天然气价格不断上涨，请问天壕今年的天然气业务，截止到10月份，同比去年增,"https://guba.eastmoney.com/news,300332,729073758.html",2017-11-16 15:48:00,【问】最近石油天然气价格不断上涨，请问天壕今年的天然气业务，截止到10月份，同比去年增长了多少？ 【答】天壕环境：您好，关于公司业绩具体详情请关注定期报告的披露，谢谢！¶¶2017-11-16 15:48:00 §
真的很想每天都说你去死。跌成这样本来不想骂人。现在天天想骂你,"https://guba.eastmoney.com/news,300332,729101334.html",2017-11-16 18:08:16,真的很想每天都说你去死。跌成这样本来不想骂人。现在天天想骂你
去死吧。天天跌。,"https://guba.eastmoney.com/news,300332,729087630.html",2017-11-16 17:40:13,去死吧。天天跌。
